ntdll_8                                             0000000180085280 8   
A_SHAFinal                                          000000018005B1D0 9   
A_SHAInit                                           000000018005B310 10  
A_SHAUpdate                                         000000018005B350 11  
AlpcAdjustCompletionListConcurrencyCount            0000000180055550 12  
AlpcFreeCompletionListMessage                       000000018006FF20 13  
AlpcGetCompletionListLastMessageInformation         00000001800DCCE0 14  
AlpcGetCompletionListMessageAttributes              00000001800DCD00 15  
AlpcGetHeaderSize                                   0000000180077F10 16  
AlpcGetMessageAttribute                             0000000180077ED0 17  
AlpcGetMessageFromCompletionList                    0000000180030FF0 18  
AlpcGetOutstandingCompletionListMessageCount        0000000180089E00 19  
AlpcInitializeMessageAttribute                      0000000180077E70 20  
AlpcMaxAllowedMessageLength                         00000001800879D0 21  
AlpcRegisterCompletionList                          0000000180088A50 22  
AlpcRegisterCompletionListWorkerThread              0000000180073400 23  
AlpcRundownCompletionList                           0000000180089DA0 24  
AlpcUnregisterCompletionList                        0000000180089DC0 25  
AlpcUnregisterCompletionListWorkerThread            00000001800733A0 26  
ApiSetQueryApiSetPresence                           0000000180027220 27  
CsrAllocateCaptureBuffer                            0000000180004620 28  
CsrAllocateMessagePointer                           00000001800045E0 29  
CsrCaptureMessageBuffer                             00000001800043A0 30  
CsrCaptureMessageMultiUnicodeStringsInPlace         0000000180004400 31  
CsrCaptureMessageString                             0000000180004520 32  
CsrCaptureTimeout                                   00000001800D0320 33  
CsrClientCallServer                                 0000000180004220 34  
CsrClientConnectToServer                            0000000180003BB0 35  
CsrFreeCaptureBuffer                                00000001800041F0 36  
CsrGetProcessId                                     00000001800D0340 37  
CsrIdentifyAlertableThread                          0000000180085BC0 38  
CsrSetPriorityClass                                 00000001800D40A0 39  
CsrVerifyRegion                                     00000001800D0360 40  
DbgBreakPoint                                       00000001800A9920 41  
DbgPrint                                            00000001800626D0 42  
DbgPrintEx                                          00000001800622B0 43  
DbgPrintReturnControlC                              00000001800DCD40 44  
DbgPrompt                                           00000001800DCD90 45  
DbgQueryDebugFilterState                            00000001800DCDD0 46  
DbgSetDebugFilterState                              00000001800DCDE0 47  
DbgUiConnectToDbg                                   00000001800D1530 48  
